TimeCode,Roll,Scene,Take
00:00:01;11,7,9,5
00:00:06;13,7,9,6
00:00:08;07,7,9,7
00:04:36;12,7,9,8
00:04:42;12,7,9,9
00:00:05;27,7,9,9
00:00:07;20,7,9,10
00:00:12;04,7,9,10
00:00:01;26,7,9,10
00:00:07;08,7,9,11
00:00:04;08,7,9,16
00:00:05;27,7,9,17
00:00:33;04,7,9,18
00:00:40;05,7,9,19
00:00:47;05,7,9,20
00:03:24;08,7,9,21
00:25:15;20,7,9,22
02:08:40;18,7,9,23
13:37:44;13,7,9,24
00:00:13;18,16,6,25
00:00:00;13,16,6,26
00:00:12;18,16,6,26
00:00:12;18,14,6,1
00:00:04;15,13,6,1
00:00:41;10,9,6,1
00:00:10;14,1,6,1
00:00:01;08,1,6,1
00:00:00;15,1,6,1
00:00:00;15,1,6,2
00:00:00;14,1,6,2
00:00:05;04,1,6,1
00:00:05;16,1,6,1
00:00:01;20,1,6,1
00:00:02;20,1,6,1
00:00:04;08,1,6,1
00:00:04;18,1,6,2
00:00:05;12,1,6,2
00:00:02;18,1,6,2
00:00:02;20,1,6,2
00:00:01;19,1,6,2
00:00:07;22,1,6,3
00:00:04;07,1,6,2
00:00:05;04,1,6,3
00:00:06;03,1,6,4
00:00:13;23,1,6,5
00:11:33;01,1,6,6
00:11:35;06,1,6,7
00:00:08;06,1,1,12
00:00:11;17,1,1,13
00:00:25;10,1,1,14
00:00:40;07,1,1,15
00:00:44;14,1,1,16
00:00:14;00,1,1,17
00:00:17;23,1,1,18
00:00:21;16,1,1,19
00:00:25;01,1,1,20
00:00:27;20,1,1,21
00:00:31;15,1,1,22
00:06:49;15,1,1,23
00:06:51;21,1,1,24
00:06:56;22,1,1,25
00:06:59;11,1,1,26
00:02:35;03,1,1,27
00:02:37;13,1,1,28
00:02:39;18,1,1,29
00:00:24;05,17,17,5
